Function,K,p,Mean,Std,Best
Rastrigin,2,0.3,24.4762592849724,12.492215590324962,11.939575712389342
Rastrigin,2,0.5,17.909684751157027,5.69837058751991,7.9598570536135185
Rastrigin,2,0.8,20.297529072820858,10.522172705494109,11.939749291062185
Rastrigin,4,0.0,9.61658545848403,6.937401952158482,0.04992979218042137
Rastrigin,4,0.1,9.200443102367945,6.462117272174755,0.0724220707389236
Rastrigin,4,0.3,15.332040427838376,9.725895973679421,0.09324952579100909
Rastrigin,4,0.5,11.19885928733433,8.296679143934426,0.014580139987060647
Rastrigin,4,0.8,7.547306587306565,5.9794135599246205,0.02746283544314565
Rastrigin,6,0.0,10.454287350291589,5.200138429867864,0.06463117225109727
Rastrigin,6,0.1,8.121133147836844,8.451494174474576,0.004169291334108038
Rastrigin,6,0.3,10.128820711346838,6.439135804391478,0.04487328229697596
Rastrigin,6,0.5,7.406105490803606,7.499614299545796,0.001089454251598454
Rastrigin,6,0.8,12.153180758974026,6.086530924910006,0.13938240196904417
Rastrigin,8,0.0,7.749488347779726,5.934940116651864,0.30714619826204625
Rastrigin,8,0.1,11.537637294844405,7.664589395418595,0.0022792668854663134
Rastrigin,8,0.3,8.123367079464998,6.07849708157803,0.0415582336826219
Rastrigin,8,0.5,4.8704121185662475,5.357155020678321,0.04832641997700193
Rastrigin,8,0.8,7.829734123281566,6.511479125975607,0.02535473464547522
Rastrigin,10,0.0,8.312926538065756,7.61537360350783,0.14340422201769343
Rastrigin,10,0.1,6.730452406372012,4.077112089767939,1.879669319410425
Rastrigin,10,0.3,9.613389186471391,5.450323480070386,0.08325266083500082
Rastrigin,10,0.5,6.440319565599088,6.447387375742058,0.013947483786012072
Rastrigin,10,0.8,4.962808699028836,3.5110114727830086,0.398506939378251
Ackley,2,0.0,4.361016851360533,1.3820623356007937,1.181228408149512
Ackley,2,0.1,4.837723273462705,1.9556984946904326,0.29923763178996454
Ackley,2,0.3,5.807257674579288,0.9970514766599298,4.211547202682603
Ackley,2,0.5,5.4645979150049815,1.3217296880746912,3.02678649488502
Ackley,2,0.8,5.665849718446789,1.7632242671911744,3.0269884611762348
Ackley,4,0.0,3.1146695633884316,2.346728277133163,0.02186947674666273
Ackley,4,0.1,4.6012194936540185,1.7903063596660556,0.013340308643439602
Ackley,4,0.3,3.0698410140849526,2.165577798900234,0.011543102336741828
Ackley,4,0.5,4.302212593960595,2.0858377413071936,0.00860278840766826
Ackley,4,0.8,4.31172254524249,2.5965517436619834,0.025134875379546617
Ackley,6,0.0,4.1154813178171175,1.5975339505877042,0.07607245801392226
Ackley,6,0.1,3.3144985470033084,2.0647719754650495,0.008175176515209603
Ackley,6,0.3,4.4885173921771955,2.476985682003549,0.011129605053302516
Ackley,6,0.5,4.351145662964511,1.5628665622272289,0.026453784093782406
Ackley,6,0.8,2.729649301765459,2.8129903044770743,0.01653660291139092
Ackley,8,0.0,3.62284581621807,2.2703096678322887,0.007292860876589646
