Function 1,Function 2,Statistic,p-value,Significant (p<0.05)
Kowalik,Shekel3,5.410017808004594,6.301848221392269e-08,True
Kowalik,Shekel4,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Branin,-5.410017808004594,6.301848221392269e-08,True
Camel-Back,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Hartman,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Shekel1,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Shekel2,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Shekel3,5.410017808004594,6.301848221392269e-08,True
Camel-Back,Shekel4,5.410017808004594,6.301848221392269e-08,True
Branin,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Branin,Hartman,5.410017808004594,6.301848221392269e-08,True
Branin,Shekel1,5.410017808004594,6.301848221392269e-08,True
Branin,Shekel2,5.410017808004594,6.301848221392269e-08,True
Branin,Shekel3,5.410017808004594,6.301848221392269e-08,True
Branin,Shekel4,5.410017808004594,6.301848221392269e-08,True
Goldstein-Price,Hartman,-5.410017808004594,6.301848221392269e-08,True
Goldstein-Price,Shekel1,-5.410017808004594,6.301848221392269e-08,True
Goldstein-Price,Shekel2,-5.410017808004594,6.301848221392269e-08,True
Goldstein-Price,Shekel3,-5.410017808004594,6.301848221392269e-08,True
Goldstein-Price,Shekel4,-5.410017808004594,6.301848221392269e-08,True
Hartman,Shekel1,-5.410017808004594,6.301848221392269e-08,True
Hartman,Shekel2,5.410017808004594,6.301848221392269e-08,True
Hartman,Shekel3,5.410017808004594,6.301848221392269e-08,True
Hartman,Shekel4,5.410017808004594,6.301848221392269e-08,True
Shekel1,Shekel2,5.410017808004594,6.301848221392269e-08,True
Shekel1,Shekel3,5.410017808004594,6.301848221392269e-08,True
Shekel1,Shekel4,5.410017808004594,6.301848221392269e-08,True
Shekel2,Shekel3,4.733765582004019,2.20392254901182e-06,True
Shekel2,Shekel4,4.571465047763882,4.843260828740522e-06,True
Shekel3,Shekel4,2.5968085478422047,0.009409435392827698,True
